cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.45273811,0.5,TRUE,5
1,0.500004557,0.5044,TRUE,7
2,0.544868842,0.5088,TRUE,8
3,0.586518484,0.5136,TRUE,8
4,0.626518484,0.5184,TRUE,9
5,0.663722225,0.5236,TRUE,11
6,0.699337315,0.5292,TRUE,11
7,0.733337315,0.5356,TRUE,12
8,0.766614863,0.5424,TRUE,12
9,0.797621647,0.5496,TRUE,13
10,0.825621647,0.558,TRUE,14
11,0.852867739,0.5668,TRUE,16
12,0.878867739,0.5768,TRUE,17
13,0.903053951,0.5868,TRUE,18
14,0.925925958,0.5968,TRUE,21
15,0.945558247,0.6068,FALSE,22
16,0.895558247,0.6168,FALSE,21
17,0.845558247,0.6268,FALSE,18
18,0.795558247,0.6368,FALSE,17
19,0.745558247,0.6456,FALSE,0
20,0.695558247,0.654,FALSE,0
21,0.645558247,0.6612,FALSE,0
22,0.595558247,0.668,FALSE,0
23,0.545558247,0.668,FALSE,0
24,0.495558247,0.668,FALSE,0
25,0.445558247,0.668,FALSE,0
26,0.395558247,0.668,FALSE,0
27,0.345558247,0.668,FALSE,0
28,0.295558247,0.668,FALSE,0
29,0.245558247,0.668,FALSE,0
30,0.195558247,0.668,TRUE,0
31,0.245558247,0.668,TRUE,0
32,0.295558247,0.668,TRUE,0
33,0.345558247,0.668,TRUE,0
34,0.395558247,0.668,TRUE,0
35,0.445558247,0.668,TRUE,0
36,0.495558247,0.668,TRUE,0
37,0.545558247,0.668,TRUE,0
38,0.595558247,0.6748,TRUE,0
39,0.645558247,0.682,TRUE,0
40,0.695558247,0.6904,TRUE,0
41,0.745558247,0.6992,TRUE,0
42,0.795558247,0.7092,TRUE,17
43,0.845558247,0.7192,TRUE,18
44,0.895558247,0.7292,TRUE,21
45,0.945558247,0.7392,FALSE,22
46,0.895558247,0.7492,FALSE,21
47,0.845558247,0.7592,FALSE,18
48,0.795558247,0.7692,FALSE,17
49,0.745558247,0.778,FALSE,0
50,0.695558247,0.7864,FALSE,0
51,0.645558247,0.7936,FALSE,0
52,0.595558247,0.8004,FALSE,0
53,0.545558247,0.8004,FALSE,0
54,0.495558247,0.8004,FALSE,0
55,0.445558247,0.8004,FALSE,0
56,0.395558247,0.8004,FALSE,0
57,0.345558247,0.8004,FALSE,0
58,0.295558247,0.8004,FALSE,0
59,0.245558247,0.8004,FALSE,0
60,0.195558247,0.8004,TRUE,0
61,0.245558247,0.8004,TRUE,0
62,0.295558247,0.8004,TRUE,0
63,0.345558247,0.8004,TRUE,0
64,0.395558247,0.8004,TRUE,0
65,0.445558247,0.8004,TRUE,0
66,0.495558247,0.8004,TRUE,0
67,0.545558247,0.8004,TRUE,0
68,0.595558247,0.8072,TRUE,0
69,0.645558247,0.8144,TRUE,0
70,0.695558247,0.8228,TRUE,0
71,0.745558247,0.8316,TRUE,0
72,0.795558247,0.8416,TRUE,17
73,0.845558247,0.8516,TRUE,18
74,0.895558247,0.8616,TRUE,21
75,0.945558247,0.8716,FALSE,22
76,0.895558247,0.8816,FALSE,21
77,0.845558247,0.8916,FALSE,18
78,0.795558247,0.9016,FALSE,17
79,0.745558247,0.9104,FALSE,0
80,0.695558247,0.9188,FALSE,0
81,0.645558247,0.9216,FALSE,0
82,0.595558247,0.924,FALSE,0
83,0.545558247,0.924,FALSE,0
84,0.495558247,0.924,FALSE,0
85,0.445558247,0.924,FALSE,0
86,0.395558247,0.924,FALSE,0
87,0.345558247,0.924,FALSE,0
88,0.295558247,0.924,FALSE,0
89,0.245558247,0.924,FALSE,0
90,0.195558247,0.924,TRUE,0
91,0.245558247,0.924,TRUE,0
92,0.295558247,0.924,TRUE,0
93,0.345558247,0.924,TRUE,0
94,0.395558247,0.924,TRUE,0
95,0.445558247,0.924,TRUE,0
96,0.495558247,0.924,TRUE,0
97,0.545558247,0.924,TRUE,0
98,0.595558247,0.926,TRUE,0
99,0.645558247,0.9284,TRUE,0
100,0.695558247,0.9316,TRUE,0
